symbol,name,current_mv
BHB,Bar Harbor Bankshares,"865,258 USD"
VITL,"Vital Farms, Inc.","862,585 USD"
CCNE,CNB Financial Corp.,"861,850 USD"
RBCAA,"Republic Bancorp, Inc.","860,582 USD"
LTRN,"Lantern Pharma, Inc.","86,726 USD"
BYFC,Broadway Financial Corp.,"86,448 USD"
FARM,Farmer Bros Co.,"86,078 USD"
HLVX,"HilleVax, Inc.","859,019 USD"
VYGR,"Voyager Therapeutics, Inc.","856,426 USD"
WW,"WW International, Inc.","854,468 USD"
CWCO,Consolidated Water Co. Ltd.,"851,951 USD"
WEAV,"Weave Communications, Inc.","851,859 USD"
FIP,"FTAI Infrastructure, Inc.","851,844 USD"
MCB,Metropolitan Bank Holding Corp.,"851,128 USD"
ONDS,"Ondas Holdings, Inc.","85,696 USD"
NAII,"Natural Alternatives International, Inc.","85,456 USD"
FSEA,First Seacoast Bancorp,"85,400 USD"
ICAD,"iCAD, Inc.","85,324 USD"
CPSH,CPS Technologies Corp.,"85,240 USD"
MCS,Marcus Corp. (The),"843,516 USD"
TRC,Tejon Ranch Co.,"843,204 USD"
TIPT,"Tiptree, Inc.","842,872 USD"
ARAY,"Accuray, Inc.","841,965 USD"
OOMA,"Ooma, Inc.","839,652 USD"
PWP,Perella Weinberg Partners,"836,973 USD"
CVGI,"Commercial Vehicle Group, Inc.","833,444 USD"
GEVO,"Gevo, Inc.","831,122 USD"
AEYE,"AudioEye, Inc.","83,898 USD"
KITT,"Nauticus Robotics, Inc.","83,854 USD"
HNNA,"Hennessy Advisors, Inc.","83,601 USD"
WTT,"Wireless Telecom Group, Inc.","83,538 USD"
TUP,Tupperware Brands Corp.,"83,028 USD"
PNTG,"Pennant Group, Inc. (The)","828,925 USD"
CPSI,"Computer Programs & Systems, Inc.","824,300 USD"
CARE,"Carter Bankshares, Inc.","822,428 USD"
PHAT,"Phathom Pharmaceuticals, Inc.","821,997 USD"
BLUE,"Bluebird Bio, Inc.","821,227 USD"
STCN,"Steel Connect, Inc.","82,702 USD"
YELLQ,Yellow Corp.,"82,502 USD"
NTIP,"Network-1 Technologies, Inc.","82,451 USD"
HRTH,"Harte Hanks, Inc.","82,441 USD"
BOOM,"DMC Global, Inc.","818,132 USD"
IRMD,iRadimed Corp.,"815,733 USD"
FFIC,Flushing Financial Corp.,"812,996 USD"
XERS,"Xeris Biopharma Holdings, Inc.","812,231 USD"
QUOT,"Quotient Technology, Inc.","810,939 USD"
BOTJ,"Bank of the James Financial Group, Inc.","81,896 USD"
VRAR,"Glimpse Group, Inc. (The)","81,787 USD"
BCDA,"BioCardia, Inc.","81,657 USD"
HOFVW,Hall of Fame Resort & Entertainment Co.,"81,614 USD"
