symbol,name,current_mv
LXRX,"Lexicon Pharmaceuticals, Inc.","494,560 USD"
REI,"Ring Energy, Inc.","493,802 USD"
MBCN,Middlefield Banc Corp.,"491,137 USD"
SHBI,"Shore Bancshares, Inc.","490,086 USD"
CXAI,"CXApp, Inc.","49,631 USD"
OMQS,OMNIQ Corp.,"49,486 USD"
GLUE,"Monte Rosa Therapeutics, Inc.","487,309 USD"
DNMR,"Danimer Scientific, Inc.","486,843 USD"
GCBC,"Greene County Bancorp, Inc.","486,843 USD"
AGS,"PlayAGS, Inc.","485,764 USD"
IMMR,Immersion Corp.,"485,681 USD"
ASUR,"Asure Software, Inc.","485,427 USD"
AFCG,"AFC Gamma, Inc.","484,317 USD"
BBCP,"Concrete Pumping Holdings, Inc.","483,896 USD"
REAL,"RealReal, Inc. (The)","482,166 USD"
HOFT,Hooker Furnishings Corp.,"481,372 USD"
DSGN,"Design Therapeutics, Inc.","481,288 USD"
RDW,Redwire Corp.,"48,524 USD"
CETY,"Clean Energy Technologies, Inc.","48,391 USD"
TARA,"Protara Therapeutics, Inc.","48,070 USD"
IMRX,Immuneering Corp.,"479,774 USD"
JANX,"Janux Therapeutics, Inc.","478,064 USD"
TCBX,"Third Coast Bancshares, Inc.","477,830 USD"
FTCI,"FTC Solar, Inc.","477,194 USD"
NECB,"Northeast Community Bancorp, Inc.","476,413 USD"
BWB,"Bridgewater Bancshares, Inc.","473,677 USD"
ADV,"Advantage Solutions, Inc.","473,188 USD"
FLWS,"1-800-Flowers.com, Inc.","472,976 USD"
URGN,UroGen Pharma Ltd.,"471,970 USD"
KPTI,"Karyopharm Therapeutics, Inc.","471,960 USD"
OB,"Outbrain, Inc.","470,436 USD"
RAIN,"Rain Oncology, Inc.","47,850 USD"
CURI,"CuriosityStream, Inc.","47,494 USD"
RBB,RBB Bancorp,"469,863 USD"
EGRX,"Eagle Pharmaceuticals, Inc.","469,418 USD"
NRIM,"Northrim BanCorp, Inc.","469,246 USD"
FSBW,"FS Bancorp, Inc.","468,430 USD"
GRWG,GrowGeneration Corp.,"466,504 USD"
True,"TrueCar, Inc.","464,767 USD"
MCHX,"Climb Global Solutions, Inc.","464,098 USD"
BGFV,Big 5 Sporting Goods Corp.,"463,963 USD"
BCML,BayCom Corp.,"462,303 USD"
TSBK,"Timberland Bancorp, Inc.","462,128 USD"
ORRF,"Orrstown Financial Services, Inc.","461,649 USD"
RELL,Richardson Electronics Ltd.,"461,208 USD"
HNRG,Hallador Energy Co.,"460,723 USD"
AWRE,"Aware, Inc.","46,711 USD"
ACXP,"Acurx Pharmaceuticals, Inc.","46,706 USD"
FSI,"Flexible Solutions International, Inc.","46,559 USD"
CNTY,"Century Casinos, Inc.","459,981 USD"
EHTH,"eHealth, Inc.","459,333 USD"
PLBC,Plumas Bancorp,"458,688 USD"
SSTI,"SoundThinking, Inc.","456,940 USD"
ULH,"Universal Logistics Holdings, Inc.","456,091 USD"
OVID,"Ovid therapeutics, Inc.","456,028 USD"
VLGEA,"Village Super Market, Inc.","455,510 USD"
NAUT,"Nautilus Biotechnology, Inc.","454,992 USD"
ATLC,Atlanticus Holdings Corp.,"453,834 USD"
SAMG,"Silvercrest Asset Management Group, Inc.","453,215 USD"
OCN,Ocwen Financial Corp.,"451,978 USD"
CFSB,"CFSB Bancorp, Inc.","45,590 USD"
MHLD,Maiden Holdings Ltd.,"449,889 USD"
ATNM,"Actinium Pharmaceuticals, Inc.","449,830 USD"
VLD,"Velo3D, Inc.","448,446 USD"
JYNT,Joint Corp. (The),"448,052 USD"
POWW,"AMMO, Inc.","447,969 USD"
CELC,"Celcuity, Inc.","447,710 USD"
SFST,"Southern First Bancshares, Inc.","447,653 USD"
NSTG,"NanoString Technologies, Inc.","446,448 USD"
HT,Hersha Hospitality Trust,"446,354 USD"
METC,"Ramaco Resources, Inc.","444,948 USD"
CMCL,Caledonia Mining Corp. plc,"443,803 USD"
USX,"US Xpress Enterprises, Inc.","442,848 USD"
CVLY,"Codorus Valley Bancorp, Inc.","442,539 USD"
OBT,"Orange County Bancorp, Inc.","442,446 USD"
INVE,"Identiv, Inc.","441,861 USD"
FULC,"Fulcrum Therapeutics, Inc.","441,745 USD"
STHO,Star Holdings,"441,200 USD"
III,"Information Services Group, Inc.","440,179 USD"
FXLV,"F45 Training Holdings, Inc.","44,636 USD"
KFFB,Kentucky First Federal Bancorp,"44,321 USD"
LSBK,"Lake Shore Bancorp, Inc.","44,258 USD"
THRX,"Theseus Pharmaceuticals, Inc.","439,891 USD"
INZY,"Inozyme Pharma, Inc.","438,682 USD"
ZYXI,"Zynex, Inc.","437,812 USD"
SGMO,"Sangamo Therapeutics, Inc.","437,012 USD"
 ,Cambium Networks Corp.,"435,931 USD"
CDXS,"Codexis, Inc.","435,918 USD"
LAW,"CS Disco, Inc.","434,542 USD"
ATOM,"Atomera, Inc.","433,685 USD"
TAST,"Carrols Restaurant Group, Inc.","431,495 USD"
IROQ,"IF Bancorp, Inc.","43,436 USD"
VIA,"Via Renewables, Inc.","43,180 USD"
MAYS,"JW Mays, Inc.","43,177 USD"
PMD,Psychemedics Corp.,"43,046 USD"
CCRD,CoreCard Corp.,"428,483 USD"
ALCO,"Alico, Inc.","427,703 USD"
HEAR,Turtle Beach Corp.,"425,528 USD"
LCTX,"Lineage Cell Therapeutics, Inc.","424,173 USD"
GHL,"Greenhill & Co., Inc.","423,707 USD"
PFMT,Performant Financial Corp.,"423,527 USD"
ITIC,Investors Title Co.,"421,940 USD"
PKBK,"Parke Bancorp, Inc.","421,522 USD"
NATR,"Nature's Sunshine Products, Inc.","420,024 USD"
SSKN,"Strata Skin Sciences, Inc.","42,906 USD"
PNBK,"Patriot National Bancorp, Inc.","42,741 USD"
HMPT,"Home Point Capital, Inc.","42,080 USD"
DOUG,"Douglas Elliman, Inc.","419,580 USD"
BCBP,"BCB Bancorp, Inc.","419,048 USD"
QSI,"Quantum-Si, Inc.","418,438 USD"
SGHT,"Sight Sciences, Inc.","417,080 USD"
PRPL,"Purple Innovation, Inc.","416,324 USD"
PDLB,"Ponce Financial Group, Inc.","415,582 USD"
UNTY,"Unity Bancorp, Inc.","414,453 USD"
CFFI,C&F Financial Corp.,"414,027 USD"
CRMD,"CorMedix, Inc.","412,784 USD"
ZVRA,"Zevra Therapeutics, Inc.","412,508 USD"
CMT,"Core Molding Technologies, Inc.","412,321 USD"
TG,Tredegar Corp.,"410,945 USD"
KLTR,"Kaltura, Inc.","410,027 USD"
XPON,"Expion360, Inc.","41,579 USD"
CXDO,"Crexendo, Inc.","41,504 USD"
CBNK,"Capital Bancorp, Inc.","409,006 USD"
MRAM,"Everspin Technologies, Inc.","408,942 USD"
TDUP,"ThredUp, Inc.","408,563 USD"
GRNT,"Granite Ridge Resources, Inc.","408,454 USD"
HUMA,"Humacyte, Inc.","408,365 USD"
INFU,"InfuSystem Holdings, Inc.","407,648 USD"
AMSC,American Superconductor Corp.,"407,388 USD"
ALT,"Altimmune, Inc.","407,267 USD"
KZR,"Kezar Life Sciences, Inc.","407,202 USD"
HIPO,"Hippo Holdings, Inc.","406,605 USD"
VOXX,VOXX International Corp.,"405,725 USD"
PWOD,"Penns Woods Bancorp, Inc.","404,485 USD"
BCOV,"Brightcove, Inc.","403,735 USD"
KVHI,"KVH Industries, Inc.","403,312 USD"
FRST,Primis Financial Corp.,"402,804 USD"
RLYB,Rallybio Corp.,"402,420 USD"
AVTE,"Aerovate Therapeutics, Inc.","402,373 USD"
FVCB,"FVCBankcorp, Inc.","401,893 USD"
CVRX,"CVRx, Inc.","401,054 USD"
RENB,"Enochian Biosciences, Inc.","40,451 USD"
OPTT,"Ocean Power Technologies, Inc.","4,694 USD"
NYMXF,Nymox Pharmaceutical Corp.,"4,407 USD"
OVLY,Oak Valley Bancorp,"399,614 USD"
GRTS,"Gritstone bio, Inc.","399,237 USD"
SENEA,Seneca Foods Corp.,"398,925 USD"
NKSH,"National Bankshares, Inc.","397,072 USD"
ITI,"Iteris, Inc.","396,376 USD"
OPRT,Oportun Financial Corp.,"393,513 USD"
VRA,"Vera Bradley, Inc.","391,796 USD"
FRBA,First Bank,"391,326 USD"
MVSTW,"Microvast Holdings, Inc.","391,099 USD"
AAOI,"Applied Optoelectronics, Inc.","390,088 USD"
TBIO,"Telesis Bio, Inc.","39,446 USD"
RVP,"Retractable Technologies, Inc.","39,432 USD"
UPXI,"Upexi, Inc.","39,402 USD"
PRST,"Presto Automation, Inc.","39,160 USD"
DHX,"DHI Group, Inc.","388,224 USD"
CLPT,"ClearPoint Neuro, Inc.","387,239 USD"
PTSI,"PAM Transportation Services, Inc.","387,121 USD"
SKYT,"SkyWater Technology, Inc.","386,521 USD"
CDZI,"Cadiz, Inc.","382,968 USD"
GENC,"Gencor Industries, Inc.","381,772 USD"
PCB,PCB Bancorp,"381,460 USD"
ALXO,"ALX Oncology Holdings, Inc.","380,021 USD"
IMMX,"Immix Biopharma, Inc.","38,997 USD"
SNSE,"Sensei Biotherapeutics, Inc.","38,743 USD"
SFE,"Safeguard Scientifics, Inc.","38,658 USD"
ELYM,"Eliem Therapeutics, Inc.","38,396 USD"
MGLD,"Marygold Cos., Inc. (The)","38,378 USD"
LGVN,"Longeveron, Inc.","38,322 USD"
SPRY,"ARS Pharmaceuticals, Inc.","378,664 USD"
TTSH,"Tile Shop Holdings, Inc.","377,340 USD"
COFS,"ChoiceOne Financial Services, Inc.","377,315 USD"
MG,"Mistras Group, Inc.","375,516 USD"
EGAN,eGain Corp.,"375,391 USD"
TELA,"Tela Bio, Inc.","374,141 USD"
ANNX,"Annexon, Inc.","374,025 USD"
STKS,"ONE Group Hospitality, Inc. (The)","373,825 USD"
FENC,"Fennec Pharmaceuticals, Inc.","373,385 USD"
ALTI,"AlTi Global, Inc.","373,172 USD"
RGCO,"RGC Resources, Inc.","372,778 USD"
NN,"NextNav, Inc.","372,771 USD"
ATLO,Ames National Corp.,"372,193 USD"
PKOH,Park-Ohio Holdings Corp.,"371,754 USD"
MNSB,"MainStreet Bancshares, Inc.","370,967 USD"
LINC,Lincoln Educational Services Corp.,"370,707 USD"
SSBK,"Southern States Bancshares, Inc.","370,347 USD"
RNGR,"Ranger Energy Services, Inc.","370,278 USD"
CBAN,"Colony Bankcorp, Inc.","370,112 USD"
POCI,"Precision Optics Corp., Inc.","37,669 USD"
SOBR,"Sobr Safe, Inc.","37,045 USD"
LCNB,LCNB Corp.,"368,587 USD"
ACTG,Acacia Research Corp.,"368,455 USD"
WEYS,"Weyco Group, Inc.","368,215 USD"
TRHC,"Tabula Rasa HealthCare, Inc.","365,508 USD"
TLYS,"Tilly's, Inc.","364,983 USD"
AMGC,Dakota Gold Corp.,"364,842 USD"
BRBS,"Blue Ridge Bankshares, Inc.","364,301 USD"
PGEN,"Precigen, Inc.","362,335 USD"
CVCY,Central Valley Community Bancorp,"362,102 USD"
MTRX,Matrix Service Co.,"361,416 USD"
KOSS,Koss Corp.,"36,967 USD"
OFED,Oconee Federal Financial Corp.,"36,352 USD"
CYN,"CYNGN, Inc.","36,006 USD"
VABK,Virginia National Bankshares Corp.,"359,566 USD"
ATRA,"Atara Biotherapeutics, Inc.","358,838 USD"
APYX,Apyx Medical Corp.,"357,306 USD"
MFIN,Medallion Financial Corp.,"356,852 USD"
SMTI,"Sanara Medtech, Inc.","355,005 USD"
FSTR,L B Foster Co.,"352,645 USD"
MASS,"908 Devices, Inc.","351,198 USD"
MYFW,"First Western Financial, Inc.","351,001 USD"
SKYX,SKYX Platforms Corp.,"350,859 USD"
VIGL,"Vigil Neuroscience, Inc.","350,752 USD"
MNKKQ,Mallinckrodt plc,"35,943 USD"
AMPG,"AmpliTech Group, Inc.","35,442 USD"
TKNO,"Alpha Teknova, Inc.","35,316 USD"
SLNG,"Stabilis Solutions, Inc.","35,225 USD"
EMAN,eMagin Corp.,"349,434 USD"
COOK,"Traeger, Inc.","347,969 USD"
NC,"NACCO Industries, Inc.","347,570 USD"
 ,Himalaya Shipping Ltd.,"347,289 USD"
SACH,Sachem Capital Corp.,"347,224 USD"
GMDA,Gamida Cell Ltd.,"346,041 USD"
TNGX,"Tango Therapeutics, Inc.","345,672 USD"
STRS,"Stratus Properties, Inc.","345,476 USD"
TIO,"Tingo Group, Inc.","343,962 USD"
CTXR,"Citius Pharmaceuticals, Inc.","343,903 USD"
BWFG,"Bankwell Financial Group, Inc.","343,831 USD"
LAB,"Standard BioTools, Inc.","343,104 USD"
MPAA,"Motorcar Parts of America, Inc.","342,921 USD"
CTSOD,CytoSorbents Corp.,"342,084 USD"
RCKY,"Rocky Brands, Inc.","341,649 USD"
GWRS,"Global Water Resources, Inc.","340,788 USD"
WKHS,"Workhorse Group, Inc.","340,267 USD"
WISH,"ContextLogic, Inc.","340,035 USD"
BTTX,"Better Therapeutics, Inc.","34,666 USD"
BIVI,"BioVie, Inc.","34,394 USD"
YMTX,"Kineta, Inc.","34,314 USD"
EVTV,"Envirotech Vehicles, Inc.","34,308 USD"
BARK,"BARK, Inc.","339,127 USD"
LAZY,"Lazydays Holdings, Inc.","339,078 USD"
JAKK,"JAKKS Pacific, Inc.","336,794 USD"
SWIM,"Latham Group, Inc.","334,712 USD"
FHTX,"Foghorn Therapeutics, Inc.","333,985 USD"
MPX,Marine Products Corp.,"333,120 USD"
FSP,Franklin Street Properties Corp.,"332,787 USD"
ALVR,"Allovir, Inc.","332,241 USD"
CTRN,"Citi Trends, Inc.","331,973 USD"
XBIT,"XBiotech, Inc.","331,387 USD"
AXTI,"AXT, Inc.","331,121 USD"
VMAR,"Vision Marine Technologies, Inc.","33,786 USD"
TCFC,Community Financial Corp. (The),"329,198 USD"
SCWO,"374Water, Inc.","328,613 USD"
PDSB,PDS Biotechnology Corp.,"328,016 USD"
BPRN,"Princeton Bancorp, Inc.","327,758 USD"
FRGI,"Fiesta Restaurant Group, Inc.","327,319 USD"
LNZA,"LanzaTech Global, Inc.","327,075 USD"
IKNA,"Ikena Oncology, Inc.","326,681 USD"
HQI,"HireQuest, Inc.","326,182 USD"
PVBC,"Provident Bancorp, Inc.","325,901 USD"
AJX,Great Ajax Corp.,"325,846 USD"
CATO,Cato Corp. (The),"325,376 USD"
ORMP,"Oramed Pharmaceuticals, Inc.","324,813 USD"
TSQ,"Townsquare Media, Inc.","324,405 USD"
MEC,"Mayville Engineering Co., Inc.","322,888 USD"
MDRPD,Perpetua Resources Corp.,"322,329 USD"
EVER,"EverQuote, Inc.","321,659 USD"
XOMA,XOMA Corp.,"321,451 USD"
CHMG,Chemung Financial Corp.,"320,224 USD"
LUCD,"Lucid Diagnostics, Inc.","32,936 USD"
LINK,"Interlink Electronics, Inc.","32,316 USD"
PESI,"Perma-Fix Environmental Services, Inc.","319,672 USD"
OMGA,"Omega Therapeutics, Inc.","317,817 USD"
NDLS,Noodles & Co.,"316,185 USD"
MNMD,"Mind Medicine MindMed, Inc.","314,749 USD"
AKYA,"Akoya Biosciences, Inc.","313,683 USD"
ABOS,"Acumen Pharmaceuticals, Inc.","313,650 USD"
GWH,"ESS Tech, Inc.","312,504 USD"
HURC,"Hurco Cos., Inc.","311,630 USD"
GLT,Glatfelter Corp.,"311,516 USD"
RIF,Seven Hills Realty Trust,"311,401 USD"
GHM,Graham Corp.,"310,393 USD"
ELUT,"Aziyo Biologics, Inc.","31,310 USD"
BCAB,"BioAtla, Inc.","309,705 USD"
EVBN,"Evans Bancorp, Inc.","309,456 USD"
ESCA,"Escalade, Inc.","309,320 USD"
TLS,Telos Corp.,"309,222 USD"
CARA,"Cara Therapeutics, Inc.","308,911 USD"
FREE,"Whole Earth Brands, Inc.","308,145 USD"
AREC,American Resources Corp.,"307,589 USD"
ESSA,"ESSA Bancorp, Inc.","306,251 USD"
SMLR,"Semler Scientific, Inc.","306,221 USD"
CRGE,"Charge Enterprises, Inc.","306,209 USD"
SELB,"Selecta Biosciences, Inc.","302,169 USD"
FEAM,"5E Advanced Materials, Inc.","301,242 USD"
FCCO,First Community Corp.,"300,640 USD"
MACK,"Merrimack Pharmaceuticals, Inc.","300,612 USD"
INTG,InterGroup Corp. (The),"30,613 USD"
VERY,"Vericity, Inc.","30,356 USD"
MOD,Modine Manufacturing Co.,"3,975,674 USD"
STRL,"Sterling Infrastructure, Inc.","3,909,627 USD"
CLVR,"Clever Leaves Holdings, Inc.","3,779 USD"
BTCY,"Biotricity, Inc.","3,734 USD"
EQ,"Equillium, Inc.","3,538 USD"
SYBX,"Synlogic, Inc.","3,475 USD"
 ,BlackRock Funds III,"3,448,485 USD"
DOFSQ,"Diamond Offshore Drilling, Inc.","3,384,862 USD"
SNCR,"Synchronoss Technologies, Inc.","3,293 USD"
 ,"SMART Global Holdings, Inc.","3,280,480 USD"
MTEM,"Molecular Templates, Inc.","3,256 USD"
DGII,"Digi International, Inc.","3,239,709 USD"
UFPT,"UFP Technologies, Inc.","3,209,574 USD"
BRFHD,"Barfresh Food Group, Inc.","3,158 USD"
LMAT,"LeMaitre Vascular, Inc.","3,109,816 USD"
INDI,"indie Semiconductor, Inc.","3,028,313 USD"
MNDO,Mind CTI Ltd.,"3,003 USD"
RMBL,"RumbleON, Inc.","299,891 USD"
MITT,"AG Mortgage Investment Trust, Inc.","299,684 USD"
AHT,"Ashford Hospitality Trust, Inc.","299,448 USD"
GRPN,"Groupon, Inc.","299,241 USD"
GRTX,"Galera Therapeutics, Inc.","298,943 USD"
RBOT,"Vicarious Surgical, Inc.","298,259 USD"
BTAI,"Bioxcel Therapeutics, Inc.","297,955 USD"
LLAP,Terran Orbital Corp.,"297,200 USD"
CHMI,Cherry Hill Mortgage Investment Corp.,"297,117 USD"
SAL,"Salisbury Bancorp, Inc.","296,694 USD"
INBK,First Internet Bancorp,"295,812 USD"
AAIC,Arlington Asset Investment Corp.,"294,519 USD"
BSET,"Bassett Furniture Industries, Inc.","294,228 USD"
CUE,"Cue Biopharma, Inc.","294,011 USD"
NREF,"Nexpoint Real Estate Finance, Inc.","293,981 USD"
CCCC,"C4 Therapeutics, Inc.","293,205 USD"
WMPN,William Penn Bancorp,"290,777 USD"
CSSE,"Chicken Soup For The Soul Entertainment, Inc.","29,246 USD"
LSEA,Landsea Homes Corp.,"289,988 USD"
DTC,"Solo Brands, Inc.","289,803 USD"
ESPR,"Esperion Therapeutics, Inc.","288,335 USD"
PBYI,"Puma Biotechnology, Inc.","288,281 USD"
KLXE,"KLX Energy Services Holdings, Inc.","288,037 USD"
FOSL,"Fossil Group, Inc.","285,797 USD"
NODK,"NI Holdings, Inc.","285,699 USD"
PCYG,"Park City Group, Inc.","285,325 USD"
GTHX,"G1 Therapeutics, Inc.","283,315 USD"
TWIN,"Twin Disc, Inc.","283,302 USD"
VRCA,"Verrica Pharmaceuticals, Inc.","281,328 USD"
HGBL,"Heritage Global, Inc.","281,296 USD"
PRTK,"Paratek Pharmaceuticals, Inc.","280,911 USD"
KRMD,"KORU Medical Systems, Inc.","280,720 USD"
DRRX,Durect Corp.,"280,086 USD"
CIA,"Citizens, Inc.","280,049 USD"
COYA,"Coya Therapeutics, Inc.","28,177 USD"
HRTX,"Heron Therapeutics, Inc.","279,779 USD"
BIRD,"Allbirds, Inc.","279,433 USD"
CIFR,"Cipher Mining, Inc.","278,764 USD"
QUIK,QuickLogic Corp.,"278,641 USD"
RSVR,"Reservoir Media, Inc.","278,588 USD"
PSTX,"Poseida Therapeutics, Inc.","278,409 USD"
CSTE,Caesarstone Ltd.,"277,872 USD"
PIII,"P3 Health Partners, Inc.","277,340 USD"
RCMT,"RCM Technologies, Inc.","276,920 USD"
UEIC,"Universal Electronics, Inc.","276,892 USD"
AIP,"Arteris, Inc.","275,453 USD"
WNEB,"Western New England Bancorp, Inc.","274,077 USD"
USAP,"Universal Stainless & Alloy Products, Inc.","273,461 USD"
FRAF,Franklin Financial Services Corp.,"272,989 USD"
QUAD,"Quad/Graphics, Inc.","272,386 USD"
LTRX,"Lantronix, Inc.","272,358 USD"
LE,"Lands' End, Inc.","271,647 USD"
NGS,"Natural Gas Services Group, Inc.","271,468 USD"
CALB,California Bancorp,"270,810 USD"
VOR,"Vor BioPharma, Inc.","270,400 USD"
PLSE,"Pulse Biosciences, Inc.","270,387 USD"
NOVNQ,"Novan, Inc.","27,878 USD"
DWSN,Dawson Geophysical Co.,"27,695 USD"
LL,"LL Flooring Holdings, Inc.","269,923 USD"
UFI,"Unifi, Inc.","269,812 USD"
ARC,"ARC Document Solutions, Inc.","269,545 USD"
BDTX,"Black Diamond Therapeutics, Inc.","269,458 USD"
SBT,"Sterling Bancorp, Inc.","268,555 USD"
NGVC,"Natural Grocers by Vitamin Cottage, Inc.","268,163 USD"
ISTR,Investar Holding Corp.,"267,546 USD"
CTMX,"CytomX Therapeutics, Inc.","267,285 USD"
PHX,"PHX Minerals, Inc.","266,997 USD"
LBPH,"Longboard Pharmaceuticals, Inc.","266,192 USD"
LIFE,"aTyr Pharma, Inc.","266,062 USD"
HYPR,"Hyperfine, Inc.","264,856 USD"
SGC,"Superior Group of Cos., Inc.","264,397 USD"
AOUT,"American Outdoor Brands, Inc.","263,950 USD"
RMBI,"Richmond Mutual BanCorp, Inc.","263,282 USD"
NGM,"NGM Biopharmaceuticals, Inc.","262,872 USD"
HWBK,"Hawthorn Bancshares, Inc.","262,788 USD"
TUSK,"Mammoth Energy Services, Inc.","262,718 USD"
ACRV,"Acrivon Therapeutics, Inc.","262,557 USD"
PLX,"Protalix BioTherapeutics, Inc.","261,994 USD"
CMPO,"CompoSecure, Inc.","261,613 USD"
MDV,"Modiv, Inc.","261,060 USD"
NXPL,NextPlat Corp.,"26,599 USD"
FAT,"FAT Brands, Inc.","26,502 USD"
VNCE,Vince Holding Corp.,"26,487 USD"
HNST,"Honest Co., Inc. (The)","259,884 USD"
FNGR,"FingerMotion, Inc.","259,203 USD"
CTG,"Computer Task Group, Inc.","258,489 USD"
AADI,"Aadi Bioscience, Inc.","258,299 USD"
WLFC,Willis Lease Finance Corp.,"257,828 USD"
SST,"System1, Inc.","257,661 USD"
QRHC,Quest Resource Holding Corp.,"257,423 USD"
IGMS,"IGM Biosciences, Inc.","257,000 USD"
MLVF,"Malvern Bancorp, Inc.","256,694 USD"
ASYS,"Amtech Systems, Inc.","256,447 USD"
XAIR,"Beyond Air, Inc.","255,630 USD"
NVCT,"Nuvectis Pharma, Inc.","255,089 USD"
FONR,FONAR Corp.,"254,824 USD"
ECBK,"ECB Bancorp, Inc.","254,210 USD"
 ,Gambling.com Group Ltd.,"252,959 USD"
CTV,Innovid Corp.,"252,168 USD"
CPSS,"Consumer Portfolio Services, Inc.","252,049 USD"
USCB,"USCB Financial Holdings, Inc.","251,695 USD"
HMST,"HomeStreet, Inc.","251,564 USD"
UPLD,"Upland Software, Inc.","250,582 USD"
JSPR,"Jasper Therapeutics, Inc.","250,446 USD"
MTEX,"Mannatech, Inc.","25,884 USD"
NCSM,"NCS Multistage Holdings, Inc.","25,520 USD"
LPCN,"Lipocine, Inc.","25,330 USD"
CLRO,"ClearOne, Inc.","25,136 USD"
ZVIA,Zevia PBC,"249,812 USD"
INMB,"Inmune Bio, Inc.","249,400 USD"
MNOV,"MediciNova, Inc.","249,159 USD"
MLP,"Maui Land & Pineapple Co., Inc.","248,531 USD"
VAXX,"Vaxxinity, Inc.","248,336 USD"
OVBC,Ohio Valley Banc Corp.,"247,180 USD"
STTK,"Shattuck Labs, Inc.","247,095 USD"
SNFCA,Security National Financial Corp.,"246,772 USD"
TCS,"Container Store Group, Inc. (The)","246,503 USD"
SMID,Smith-Midland Corp.,"246,478 USD"
CAPR,"Capricor Therapeutics, Inc.","244,918 USD"
LBC,Luther Burbank Corp.,"244,462 USD"
AIRS,"AirSculpt Technologies, Inc.","244,455 USD"
PBFS,"Pioneer Bancorp, Inc.","244,228 USD"
EVI,"EVI Industries, Inc.","243,430 USD"
WHG,"Westwood Holdings Group, Inc.","242,581 USD"
KRT,"Karat Packaging, Inc.","242,196 USD"
VERI,"Veritone, Inc.","241,221 USD"
CMRX,"Chimerix, Inc.","240,918 USD"
PWFL,"Powerfleet, Inc.","240,546 USD"
INKT,"MiNK Therapeutics, Inc.","24,704 USD"
RWLK,ReWalk Robotics Ltd.,"24,214 USD"
DMAC,"DiaMedica Therapeutics, Inc.","239,855 USD"
PRCH,"Porch Group, Inc.","239,456 USD"
NNBR,"NN, Inc.","239,275 USD"
OPBK,OP Bancorp,"238,948 USD"
RVSB,"Riverview Bancorp, Inc.","238,190 USD"
NOTV,"Inotiv, Inc.","237,646 USD"
LAKE,"Lakeland Industries, Inc.","236,644 USD"
FCAP,"First Capital, Inc.","236,445 USD"
FOA,"Finance of America Cos., Inc.","235,889 USD"
GSIT,"GSI Technology, Inc.","235,390 USD"
AEVA,"Aeva Technologies, Inc.","235,062 USD"
VEL,"Velocity Financial, Inc.","233,771 USD"
EPSN,Epsilon Energy Ltd.,"232,434 USD"
TRVI,"Trevi Therapeutics, Inc.","231,665 USD"
SKIL,Skillsoft Corp.,"231,234 USD"
PMTS,"CPI Card Group, Inc.","231,105 USD"
EBMT,"Eagle Bancorp Montana, Inc.","231,049 USD"
USEG,US Energy Corp.,"23,106 USD"
EML,Eastern Co. (The),"228,983 USD"
AOMR,"Angel Oak Mortgage REIT, Inc.","228,116 USD"
TALS,"Talaris Therapeutics, Inc.","227,538 USD"
SCYX,"SCYNEXIS, Inc.","227,498 USD"
EARN,Ellington Residential Mortgage REIT,"227,497 USD"
FNCB,"FNCB Bancorp, Inc.","227,249 USD"
JILL,"J Jill, Inc.","226,558 USD"
ATHA,"Athira Pharma, Inc.","226,345 USD"
ALOT,"AstroNova, Inc.","226,345 USD"
PRPH,"ProPhase Labs, Inc.","224,682 USD"
GEOS,Geospace Technologies Corp.,"224,623 USD"
LARK,"Landmark Bancorp, Inc.","224,366 USD"
BGSF,"BGSF, Inc.","223,726 USD"
UBFO,United Security Bancshares,"223,276 USD"
CDTX,"Cidara Therapeutics, Inc.","222,760 USD"
IVAC,"Intevac, Inc.","222,728 USD"
ANIX,"Anixa Biosciences, Inc.","222,262 USD"
BTTR,"Better Choice Co., Inc.",222 USD
GNSS,"Genasys, Inc.","221,889 USD"
RENT,"Rent the Runway, Inc.","221,823 USD"
ADTH,"AdTheorent Holding Co., Inc.","221,733 USD"
CBFV,"CB Financial Services, Inc.","221,427 USD"
DRIO,DarioHealth Corp.,"220,947 USD"
GOSS,"Gossamer Bio, Inc.","220,343 USD"
LVO,"LiveOne, Inc.","220,276 USD"
DERM,Journey Medical Corp.,"22,767 USD"
CTM,"Castellum, Inc.","22,584 USD"
NB,NioCorp Developments Ltd.,"22,519 USD"
BSVN,Bank7 Corp.,"219,274 USD"
EP,Empire Petroleum Corp.,"218,900 USD"
CTGO,"Contango ORE, Inc.","218,771 USD"
DIBS,"1stdibs.com, Inc.","218,259 USD"
PXLW,"Pixelworks, Inc.","218,151 USD"
BTMD,Biote Corp.,"218,064 USD"
BEEM,Beam Global,"217,660 USD"
BFIN,BankFinancial Corp.,"217,433 USD"
TBNK,"Territorial Bancorp, Inc.","217,417 USD"
LFMD,"LifeMD, Inc.","216,995 USD"
GLYC,"GlycoMimetics, Inc.","216,987 USD"
THRD,"Third Harmonic Bio, Inc.","216,777 USD"
BVS,"Bioventus, Inc.","215,025 USD"
FLXS,"Flexsteel Industries, Inc.","214,228 USD"
ANVS,"Annovis Bio, Inc.","213,364 USD"
NINE,"Nine Energy Service, Inc.","213,231 USD"
TGAN,"Transphorm, Inc.","212,935 USD"
AQMS,"Aqua Metals, Inc.","212,554 USD"
ABSI,Absci Corp.,"212,434 USD"
PEPG,"PepGen, Inc.","211,172 USD"
GNLX,Genelux Corp.,"211,142 USD"
MESA,"Mesa Air Group, Inc.","210,783 USD"
